The device 'mlx4_0' max mr size is 4294967295 bytes.
There are 1 devices!
Id:	Size(KByte):	Time(ms):
1	1	        0.102000
2	2	        0.021000
3	3	        0.035000
4	4	        0.058000
5	5	        0.074000
6	6	        0.118000
7	7	        0.034000
8	8	        0.049000
9	9	        0.052000
10	10	        0.044000
11	11	        0.048000
12	12	        0.050000
13	13	        0.046000
14	14	        0.048000
15	15	        0.048000
16	16	        0.046000
17	17	        0.049000
18	18	        0.048000
19	19	        0.067000
20	20	        0.058000
21	21	        0.115000
22	22	        0.083000
23	23	        0.095000
24	24	        0.098000
25	25	        0.096000
26	26	        0.095000
27	27	        0.096000
28	28	        0.098000
29	29	        0.096000
30	30	        0.094000
31	31	        0.094000
32	32	        0.100000
33	33	        0.097000
34	34	        0.095000
35	35	        0.092000
36	36	        0.097000
37	37	        0.093000
38	38	        0.097000
39	39	        0.096000
40	40	        0.094000
41	41	        0.105000
42	42	        0.095000
43	43	        0.093000
44	44	        0.098000
45	45	        0.097000
46	46	        0.099000
47	47	        0.100000
48	48	        0.124000
49	49	        0.104000
50	50	        0.106000
51	51	        0.131000
52	52	        0.113000
53	53	        0.129000
54	54	        0.113000
55	55	        0.132000
56	56	        0.134000
57	57	        0.123000
58	58	        0.121000
59	59	        0.140000
60	60	        0.147000
61	61	        0.144000
62	62	        0.145000
63	63	        0.145000
64	64	        0.147000
