There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
0	0	1	        1.953000	8192.524414
0	1	2	        3.749000	8535.609375
0	2	3	        5.556000	8639.308594
0	3	4	        7.384000	8667.388672
0	4	5	        9.220000	8676.789062
0	5	6	        11.063000	8677.574219
0	6	7	        12.883000	8693.626953
0	7	8	        14.706000	8703.929688
0	8	9	        16.541000	8705.640625
0	9	10	        18.410999	8690.457031
0	10	11	        20.229000	8700.380859
0	11	12	        22.056000	8705.114258
0	12	13	        23.895000	8704.750000
0	13	14	        25.724001	8707.821289
0	14	15	        27.552999	8710.485352
0	15	16	        29.407000	8705.410156
0	16	17	        31.247000	8704.835938
0	17	18	        33.068001	8709.326172
0	18	19	        34.896000	8711.599609
0	19	20	        36.731998	8711.750000
0	20	21	        38.584999	8708.046875
0	21	22	        40.417000	8709.206055
0	22	23	        42.233002	8713.564453
0	23	24	        44.091999	8709.062500
0	24	25	        45.917999	8711.180664
0	25	26	        47.756001	8710.947266
0	26	27	        49.590000	8711.433594
0	27	28	        51.442001	8708.836914
0	28	29	        53.257999	8712.306641
0	29	30	        55.098999	8711.591797
0	30	31	        56.926998	8712.913086
0	31	32	        58.754002	8714.299805
0	32	33	        60.597000	8713.302734
0	33	34	        62.617001	8687.736328
0	34	35	        64.254997	8715.275391
0	35	36	        66.184998	8702.878906
0	36	37	        67.939003	8713.698242
0	37	38	        69.766998	8714.721680
0	38	39	        71.612000	8713.623047
0	39	40	        73.440002	8714.596680
0	40	41	        75.300003	8711.819336
0	41	42	        77.123001	8713.353516
0	42	43	        78.938004	8715.701172
0	43	44	        80.786003	8714.380859
0	44	45	        82.621002	8714.491211
0	45	46	        84.459999	8714.184570
0	46	47	        86.293999	8714.395508
0	47	48	        88.136002	8713.805664
0	48	49	        89.961998	8714.791016
0	49	50	        91.785004	8716.020508
0	50	51	        93.634003	8714.783203
0	51	52	        95.466003	8715.144531
0	52	53	        97.286003	8716.567383
0	53	54	        99.135002	8715.387695
0	54	55	        100.980003	8714.596680
0	55	56	        102.804001	8715.614258
0	56	57	        104.662003	8713.764648
0	57	58	        106.483002	8715.005859
0	58	59	        108.320999	8714.838867
0	59	60	        110.171997	8713.648438
0	60	61	        111.987000	8715.296875
0	61	62	        113.819000	8715.591797
0	62	63	        115.637001	8716.932617
0	63	64	        117.474998	8716.749023
