There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
0	0	1	        1.990000	8040.201172
0	1	2	        3.770000	8488.063477
0	2	3	        5.586000	8592.910156
0	3	4	        7.426000	8618.367188
0	4	5	        9.235000	8662.697266
0	5	6	        11.048000	8689.355469
0	6	7	        12.903000	8680.151367
0	7	8	        14.752000	8676.790039
0	8	9	        16.587000	8681.497070
0	9	10	        18.391001	8699.907227
0	10	11	        20.243999	8693.934570
0	11	12	        22.091999	8690.928711
0	12	13	        23.959000	8681.498047
0	13	14	        25.754000	8697.678711
0	14	15	        27.627001	8687.153320
0	15	16	        29.469000	8687.094727
0	16	17	        31.313999	8686.210938
0	17	18	        33.139000	8690.666016
0	18	19	        34.957001	8696.398438
0	19	20	        36.804001	8694.707031
0	20	21	        38.608002	8702.858398
0	21	22	        40.471001	8697.584961
0	22	23	        42.265999	8706.761719
0	23	24	        44.118000	8703.930664
0	24	25	        45.959999	8703.220703
0	25	26	        47.791000	8704.567383
0	26	27	        49.643002	8702.132812
0	27	28	        51.476002	8703.084961
0	28	29	        53.301998	8705.114258
0	29	30	        55.143002	8704.640625
0	30	31	        56.976002	8705.419922
0	31	32	        58.801998	8707.187500
1	0	1	        2.969000	5389.020020
1	1	2	        5.592000	5722.460449
1	2	3	        8.350000	5748.502441
1	3	4	        11.113000	5759.020996
0	32	33	        72.891998	7243.593750
1	4	5	        12.343000	6481.406250
1	5	6	        16.628000	5773.394043
1	6	7	        19.313999	5798.902832
1	7	8	        27.704000	4620.271484
1	8	9	        24.886999	5786.153809
0	33	34	        95.653000	5687.223633
1	9	10	        22.113001	7235.562500
1	10	11	        31.353001	5613.498047
1	11	12	        33.167000	5788.886230
0	34	35	        90.045998	6219.043945
1	12	13	        26.969000	7712.558594
1	13	14	        46.438999	4823.532227
0	35	36	        101.138000	5695.188477
1	14	15	        38.993000	6154.950684
1	15	16	        44.192001	5792.903320
1	16	17	        48.863998	5566.470215
0	36	37	        100.268997	5904.118164
1	17	18	        44.860001	6419.973145
1	18	19	        58.902000	5161.115234
0	37	38	        105.400002	5768.500977
1	19	20	        48.743999	6564.910645
1	20	21	        63.289001	5308.979492
0	38	39	        108.264999	5763.635742
1	21	22	        59.130001	5952.984863
0	39	40	        106.584999	6004.597656
1	22	23	        56.708000	6489.384277
1	23	24	        79.216003	4847.505371
2	0	1	        3.994000	4006.008789
2	1	2	        7.464000	4287.245605
0	40	41	        114.268997	5740.839844
2	2	3	        8.844000	5427.408203
2	3	4	        14.754000	4337.806641
1	24	25	        56.644001	7061.647949
2	4	5	        14.520000	5509.641602
2	5	6	        22.136999	4336.631348
2	6	7	        34.691002	3228.502930
2	7	8	        29.371000	4358.040039
1	25	26	        118.178001	3520.113770
2	8	9	        30.520000	4718.217773
0	41	42	        160.800995	4179.078613
2	9	10	        32.301998	4953.253906
2	10	11	        46.087002	3818.864258
1	26	27	        95.746002	4511.937500
2	11	12	        33.476002	5735.451660
0	42	43	        150.173996	4581.352539
2	12	13	        50.451000	4122.812500
1	27	28	        81.861000	5472.691895
2	13	14	        46.537998	4813.270996
2	14	15	        79.003998	3037.821045
1	28	29	        137.901993	3364.708496
2	15	16	        46.674999	5484.734863
0	43	44	        182.166000	3864.607178
1	29	30	        61.823002	7764.100586
2	16	17	        49.785999	5463.383301
2	17	18	        96.040001	2998.750488
1	30	31	        144.194000	3439.810059
0	44	45	        194.606995	3699.764404
2	18	19	        57.083000	5325.578613
1	31	32	        87.801003	5831.368652
2	19	20	        77.962997	4104.511230
0	45	46	        118.231003	6225.101562
2	20	21	        74.084000	4535.392090
1	32	33	        99.672997	5297.322266
2	21	22	        94.317001	3732.094727
0	46	47	        131.871994	5702.499512
3	0	1	        4.986000	3208.985107
1	33	34	        102.206001	5322.583984
3	1	2	        8.787000	3641.743652
3	2	3	        13.844000	3467.206055
3	3	4	        21.243000	3012.757080
2	22	23	        87.320000	4214.383789
3	4	5	        22.909000	3492.077393
3	5	6	        27.667999	3469.712402
3	6	7	        44.560001	2513.465088
