There are 1 devices!
The device 'mlx4_0' max mr size is 18446744073709551615 bytes.
The device 'mlx4_0' max_qp_wr is 16351.
The device 'mlx4_0' phys_port_cnt is 2.
The device 'mlx4_0' active_speed is 10.0 Gbps.
The device 'mlx4_0' max_mtu is IBV_MTU_4096.
The device 'mlx4_0' active_mtu is IBV_MTU_1024.
The device 'mlx4_0' link_layer is IBV_LINK_LAYER_ETHERNET.
Thread:	Id:	Size(MByte):	Time(ms):	Speed(Mbits/s):
0	0	1	        1.950000	8205.127930
0	1	2	        3.750000	8533.333984
0	2	3	        5.537000	8668.954102
0	3	4	        7.379000	8673.261719
0	4	5	        9.224000	8673.026367
0	5	6	        11.059000	8680.712891
0	6	7	        12.914000	8672.758789
0	7	8	        14.748000	8679.142578
0	8	9	        16.596001	8676.789062
0	9	10	        18.430000	8681.497070
0	10	11	        20.271000	8682.354492
0	11	12	        22.090000	8691.714844
0	12	13	        23.921000	8695.289062
0	13	14	        25.757000	8696.665039
0	14	15	        27.591999	8698.173828
0	15	16	        29.427999	8699.198242
0	16	17	        31.261999	8700.659180
0	17	18	        33.112000	8697.752930
0	18	19	        34.933998	8702.124023
0	19	20	        36.766998	8703.457031
0	20	21	        38.604000	8703.761719
0	21	22	        40.456001	8700.810547
0	22	23	        42.286999	8702.438477
1	0	1	        2.935000	5451.448242
1	1	2	        5.555000	5760.576172
1	2	3	        8.317000	5771.311523
0	23	24	        52.077999	7373.555176
1	3	4	        9.853000	6495.483887
1	4	5	        13.824000	5787.037109
1	5	6	        16.569000	5793.952637
1	6	7	        20.721001	5405.144043
0	24	25	        68.001999	5882.179688
1	7	8	        18.825001	6799.468750
1	8	9	        24.846001	5795.701172
1	9	10	        31.694000	5048.274414
0	25	26	        69.274002	6005.139160
1	10	11	        20.774000	8472.128906
1	11	12	        41.035999	4678.818848
0	26	27	        73.989998	5838.627441
1	12	13	        28.743000	7236.544434
1	13	14	        45.689999	4902.604492
0	27	28	        76.168999	5881.658203
1	14	15	        32.366001	7415.188965
1	15	16	        55.880001	4581.245117
0	28	29	        79.708000	5821.247559
1	16	17	        31.993999	8501.593750
1	17	18	        60.693001	4745.192871
0	29	30	        83.480003	5749.880371
1	18	19	        47.562000	6391.657227
0	30	31	        78.780998	6295.934082
1	19	20	        46.000000	6956.521484
1	20	21	        76.183998	4410.375000
0	31	32	        96.393997	5311.534180
1	21	22	        49.633999	7091.913086
0	32	33	        80.691002	6543.480469
1	22	23	        53.158001	6922.758789
1	23	24	        86.245003	4452.432129
0	33	34	        104.658997	5197.833008
1	24	25	        68.080002	5875.440430
0	34	35	        88.023003	6361.973633
1	25	26	        49.486000	8406.417969
2	0	1	        4.043000	3957.457031
2	1	2	        7.896000	4052.685059
2	2	3	        11.125000	4314.606445
2	3	4	        14.787000	4328.125977
0	35	36	        108.910004	5288.770508
2	4	5	        17.919001	4464.534668
1	26	27	        93.352997	4627.596680
2	5	6	        19.417999	4943.866699
2	6	7	        25.697001	4358.485352
2	7	8	        30.377001	4213.714355
2	8	9	        35.389999	4068.946045
1	27	28	        127.336998	3518.223389
2	9	10	        31.877001	5019.292969
0	36	37	        152.746002	3875.715088
2	10	11	        36.089001	4876.832520
1	28	29	        85.291000	5440.198730
2	11	12	        46.491001	4129.831543
0	37	38	        112.721001	5393.848145
2	12	13	        49.988998	4160.915527
1	29	30	        77.080002	6227.295898
2	13	14	        41.654999	5377.505859
2	14	15	        71.539001	3354.813477
0	38	39	        134.513000	4638.956543
1	30	31	        118.973999	4168.978027
2	15	16	        37.060001	6907.717285
2	16	17	        73.806000	3685.337158
1	31	32	        150.729004	3396.824707
2	17	18	        65.879997	4371.584473
0	39	40	        171.904007	3723.007812
2	18	19	        67.222000	4522.329102
1	32	33	        125.184998	4217.757812
2	19	20	        79.867996	4006.611084
0	40	41	        158.934998	4127.473633
1	33	34	        81.778999	6652.074707
2	20	21	        68.355003	4915.514648
0	41	42	        101.613998	6613.262207
2	21	22	        83.322998	4224.523926
1	34	35	        110.487999	5068.423828
3	0	1	        4.872000	3284.072021
3	1	2	        9.246000	3460.956055
0	42	43	        114.757004	5995.276855
2	22	23	        90.960999	4045.689941
3	2	3	        11.617000	4131.875977
3	3	4	        18.444000	3469.963135
1	35	36	        100.440002	5734.767090
3	4	5	        20.155001	3969.238037
3	5	6	        27.603001	3477.882812
2	23	24	        98.183998	3911.024414
3	6	7	        33.544998	3338.798828
3	7	8	        43.653000	2932.215332
0	43	44	        187.238998	3759.900635
3	8	9	        39.521000	3643.632324
2	24	25	        107.803001	3710.471924
1	36	37	        191.945007	3084.216797
3	9	10	        37.007999	4323.389648
3	10	11	        50.432999	3489.778564
3	11	12	        68.156998	2817.025635
2	25	26	        149.468994	2783.186035
3	12	13	        51.384998	4047.874268
0	44	45	        220.408005	3266.668945
1	37	38	        199.901001	3041.505615
3	13	14	        47.284000	4737.332031
2	26	27	        84.122002	5135.398438
3	14	15	        72.218002	3323.271240
3	15	16	        84.362999	3034.505615
0	45	46	        209.315002	3516.231445
2	27	28	        175.509995	2552.561279
1	38	39	        216.298004	2884.908691
3	16	17	        45.660000	5957.074219
3	17	18	        107.695000	2674.218994
2	28	29	        147.785004	3139.696045
3	18	19	        81.482002	3730.885254
1	39	40	        219.563995	2914.867676
0	46	47	        258.018005	2914.525146
